Matchup,Market_Odds
Stony Brook @ Elon,140.5
Marquette @ Seton Hall,135.5
Georgetown @ Butler,143.5
Texas Tech @ UCF,152.5
Cincinnati @ Houston,128.5
Pittsburgh @ Clemson,127.5
Campbell @ William & Mary,160.5
Ball St. @ Toledo,139.5
Duke @ Virginia Tech,141.5
Holy Cross @ Army,137.5
Samford @ Western Carolina,152.5
Stonehill @ Le Moyne,131.5
Robert Morris @ Purdue Fort Wayne,137.5
UNC Greensboro @ The Citadel,140.5
DePaul @ Xavier,143.5
San Diego St. @ Utah St.,139.5
LSU @ South Carolina,141.5
Fairleigh Dickinson @ Wagner,129.5
Valparaiso @ Indiana St.,138.5
Texas A&M @ Georgia,165.5
Virginia @ Boston College,132.5
Charleston @ Northeastern,155.5
Ohio @ Buffalo,139.5
Lipscomb @ North Florida,159.5
Texas @ Oklahoma,150.5
Hofstra @ Monmouth,133.5
Colgate @ Lehigh,138.5
North Carolina @ Georgia Tech,151.5
Lafayette @ American,135.5
SMU @ Louisville,154.5
LIU @ Central Connecticut,135.5
Hampton @ Towson,126.5
Boston University @ Bucknell,132.5
VMI @ Mercer,148.5
Arizona @ Arizona St.,156.5
Fordham @ George Washington,140.5
Radford @ Presbyterian,144.5
Queens @ Bellarmine,155.5
North Alabama @ Stetson,137.5
UNC Asheville @ Winthrop,143.5
Mercyhurst @ Chicago St.,122.5
Ohio St. @ Wisconsin,148.5
Maine @ UMass Lowell,129.5
Saint Joseph's @ La Salle,135.5
Idaho St. @ Weber St.,144.5
Florida Gulf Coast @ Jacksonville,130.5
California @ UT Arlington,125.5
High Point @ Longwood,148.5
Fresno St. @ Air Force,130.5
James Madison @ Mississippi,136.5
Oral Roberts @ South Dakota St.,140.5
Marshall @ Arkansas St.,159.5
Jacksonville St. @ Missouri St.,127.5
Lindenwood @ Morehead St.,143.5
Mississippi St. @ Missouri,142.5
Northern Illinois @ Miami OH,149.5
Bethune Cookman @ Alabama St.,145.5
Hawaii @ Long Beach St.,139.5
Little Rock @ Tennessee Tech,135.5
Western Kentucky @ Middle Tennessee,131.5
Southern Utah @ Abilene Christian,143.5
Nebraska Omaha @ Denver,151.5
California @ Miami FL,141.5
Norfolk St. @ Howard,137.5
New Hampshire @ Bryant,125.5
Maryland @ Navy,135.5
Georgia Southern @ Louisiana,137.5
Baylor @ West Virginia,131.5
Grambling St. @ Jackson St.,141.5
Eastern Washington @ Northern Colorado,149.5
Arkansas Pine Bluff @ Mississippi Valley St.,135.5
Southern @ Alcorn St.,141.5
Morgan St. @ Coppin St.,148.5
Tennessee Martin @ Western Illinois,130.5
Southeast Missouri St. @ Eastern Illinois,132.5
NJIT @ Vermont,132.5
Davidson @ Richmond,133.5
BYU @ Kansas,151.5
Austin Peay @ West Georgia,143.5
Eastern Kentucky @ Central Arkansas,144.5
Dartmouth @ Brown,135.5
Mississippi @ Vanderbilt,142.5
Princeton @ Columbia,133.5
Eastern Michigan @ Massachusetts,142.5
Notre Dame @ Syracuse,138.5
Stanford @ Florida St.,142.5
Penn @ Cornell,166.5
Northwestern St. @ New Orleans,146.5
Oklahoma St. @ Utah,160.5
Nicholls St. @ East Texas A&M,138.5
Bradley @ Drake,143.5
North Dakota St. @ South Dakota,146.5
Portland @ Washington St.,144.5
Oregon St. @ San Diego,143.5
Kentucky @ Arkansas,154.5
George Mason @ St. Bonaventure,135.5
Harvard @ Yale,135.5
New Haven @ Saint Francis,124.5
McNeese St. @ Lamar,137.5
Bowling Green @ Central Michigan,143.5
Rutgers @ Southern,135.5
UMBC @ Albany,133.5
Illinois Chicago @ Southern Illinois,135.5
Connecticut @ Creighton,136.5
UC San Diego @ Cal St. Northridge,152.5
Idaho @ Northern Arizona,138.5
Georgia St. @ South Alabama,132.5
Cal Poly @ UC Riverside,153.5
South Florida @ Temple,148.5
UAB @ North Texas,133.5
Murray St. @ Belmont,159.5
SIU Edwardsville @ Southern,125.5
Auburn @ Tennessee,140.5
Cal St. Fullerton @ UC Santa Barbara,146.5
Delaware @ UTEP,121.5
Santa Clara @ Loyola Marymount,145.5
Colorado St. @ Wyoming,132.5
Montana @ Sacramento St.,148.5
Louisiana Tech @ Houston,134.5
Pacific @ San Francisco,130.5
New Mexico @ San Jose St.,141.5
Saint Mary's @ Gonzaga,137.5
